timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-10-01 21:00:00,44.353,27.355,4.89,6.592,23.902,4.644,1.558,1.318
2018-10-01 22:00:00,27.767,22.682,3.296,4.799,16.758,2.766,1.024,1.024
2018-10-01 23:00:00,19.023,18.787,1.986,3.486,11.264,2.104,0.538,0.73
2018-10-02 00:00:00,13.995,16.017,1.49,3.372,8.861,1.563,0.356,0.498
2018-10-02 01:00:00,11.733,14.664,1.21,3.038,7.718,1.178,0.329,0.519
2018-10-02 02:00:00,11.277,16.122,1.096,2.65,6.831,1.242,0.334,0.543
2018-10-02 03:00:00,10.718,16.556,0.982,2.494,6.788,1.362,0.37,0.52
2018-10-02 04:00:00,14.592,20.135,1.256,2.958,7.846,1.623,0.516,0.718
2018-10-02 05:00:00,20.077,24.608,1.967,3.486,10.769,2.237,0.738,0.956
2018-10-02 06:00:00,23.631,27.842,2.019,3.936,12.986,2.745,0.883,0.825
2018-10-02 07:00:00,25.181,29.256,2.285,4.107,15.971,2.973,1.129,0.969
2018-10-02 08:00:00,26.285,30.574,2.912,4.022,18.439,3.347,1.058,0.835
2018-10-02 09:00:00,31.275,32.45,3.195,4.508,19.802,3.553,1.051,0.982
2018-10-02 10:00:00,38.049,35.594,3.677,5.178,22.23,3.959,1.204,0.908
2018-10-02 11:00:00,58.859,37.171,4.202,6.193,26.439,4.608,1.279,1.0
2018-10-02 12:00:00,99.71,36.414,6.034,8.4,35.181,5.089,1.424,1.492
2018-10-02 13:00:00,114.53,34.463,8.363,10.482,43.348,5.915,2.002,1.823
2018-10-02 14:00:00,117.886,32.068,9.808,10.755,42.833,7.414,2.407,2.378
2018-10-02 15:00:00,108.941,29.797,10.843,10.223,41.916,7.57,2.422,2.427
2018-10-02 16:00:00,97.262,29.745,11.352,10.795,43.824,7.481,2.591,3.017
2018-10-02 17:00:00,82.756,31.182,11.156,12.539,51.196,10.413,3.805,3.668
2018-10-02 18:00:00,65.352,29.462,10.256,12.771,53.506,9.307,3.428,3.139
2018-10-02 19:00:00,58.476,27.279,8.156,12.847,50.73,8.954,3.355,3.237
2018-10-02 20:00:00,52.584,25.937,7.542,11.215,42.981,9.711,3.853,3.238
2018-10-02 21:00:00,44.807,23.349,7.003,8.629,34.329,8.43,3.281,3.221
2018-10-02 22:00:00,35.093,19.401,5.68,7.02,26.104,6.261,2.314,2.476
2018-10-02 23:00:00,27.726,17.231,4.017,6.213,20.643,4.906,1.599,2.005
2018-10-03 00:00:00,22.093,16.096,3.446,5.462,16.607,4.268,1.245,1.716
2018-10-03 01:00:00,19.148,15.322,2.822,4.908,14.447,2.877,0.993,1.423
2018-10-03 02:00:00,18.065,17.081,2.556,4.418,12.615,2.635,0.797,1.183
2018-10-03 03:00:00,16.64,18.258,2.17,4.511,12.769,3.093,0.988,1.416
2018-10-03 04:00:00,20.631,21.001,2.383,4.586,15.2,4.048,1.541,1.49
2018-10-03 05:00:00,28.499,27.559,3.492,5.112,21.163,5.093,1.929,1.993
2018-10-03 06:00:00,37.421,32.441,4.33,6.147,26.385,6.632,2.091,2.52
2018-10-03 07:00:00,50.112,37.199,6.749,9.698,43.572,10.497,4.425,3.343
2018-10-03 08:00:00,74.445,42.958,10.541,15.197,73.136,18.152,8.042,6.842
2018-10-03 09:00:00,100.739,64.833,14.312,20.96,104.663,27.013,11.048,11.098
2018-10-03 10:00:00,116.123,106.512,16.396,29.874,147.388,31.35,12.712,13.084
2018-10-03 11:00:00,131.532,132.443,20.286,36.679,177.402,33.435,13.82,13.307
2018-10-03 12:00:00,149.888,154.632,29.306,43.32,207.181,30.855,12.551,12.674
2018-10-03 13:00:00,168.925,203.478,36.171,47.44,223.119,30.626,12.502,12.553
2018-10-03 14:00:00,203.719,216.952,36.887,46.697,214.171,31.72,13.537,13.047
2018-10-03 15:00:00,218.294,205.349,36.798,41.045,190.651,32.61,13.846,13.587
